character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
caramelman-j,jabright,8,0.0011216965497937714,0.9998298957536456,1.0004494777647572,0.9996068083632804,1.0006722187850365
arale-norimaki,backflip,8,0.0011199894141086242,0.9993902113272634,1.0002232623782052,0.9995233249729086,1.000510200741372
gon-freecss,cmd:1+3,13,0.001119693371805619,0.9994480058253741,1.0005384060785198,0.9994323008028203,1.0004266478667363
toshiro-hitsugaya,cmd:1+2,5,0.001119125693132883,0.999607221522214,1.0004339646233904,0.9997762118568647,1.0006851610697425
kazuki-muto,backflip,8,0.001115245275477017,0.99969855974501,1.0003745766286645,0.9992593313531875,1.0000824478669923
pegasus-seiya,crouchBlock,8,0.0011149850823839458,0.9993099695870825,1.0001341716606755,0.9995750453305335,1.0000926221730446
kazuki-muto,cmd:1+2,6,0.0011137655792050616,0.9993799068416644,1.000231222272391,0.9996267784621465,1.0004936724208695
frieza,getupStand,8,0.0011133130167687577,0.9994804541118973,1.0008243474846925,0.9997110344679238,1.0002595265757852
majin-buu,getupStand,8,0.0011114052028264876,0.9996438278101863,1.0007986351382936,0.9997017391434779,1.000312770064533
neuro-nogami,jump,4,0.001110651796123907,0.9996145249085282,1.0004656927975444,0.9997610887430332,1.0006449589985795
vegeta,backflip,8,0.0011105888732767522,0.999627858207857,1.0003329715789586,0.9992615529188662,1.000448141166584
naruto-uzumaki-nine-tails-kyubi,jabright,7,0.0011103559371241634,0.9996198333436553,1.0006991559085325,0.9997627550661348,1.0004112000285916
gintoki-sakata,idle,4,0.0011094496125342301,0.9995801844836982,1.0003307134806008,0.9993103659037675,1.0000888658378662
vegeta,sprint,10,0.0011089914971166293,0.9996737986148733,1.0008842702875185,0.9997752787904018,1.0001778550682887
kenshiro,kickleft,8,0.0011088630105831054,0.9994302718303195,1.0006805400818717,0.9998445061854211,1.0004283229287114
killua-zoldyck,cmd:1+3,14,0.0011084046432832118,0.9993344051330864,1.0001633813213886,0.9999743469700564,1.0004428097763696
renji-abarai,cmd:1+3,13,0.0011082698850855,0.9994833289112939,1.0005004968291376,0.9997646782796524,1.0005915987963794
gintoki-sakata,jableft,8,0.001104290596548596,0.9995743250339442,1.000313479107778,0.9997305278153783,1.0006786156304928
hiei,crouchBlock,8,0.0011019444511439769,0.999700215420265,1.0003972542506092,0.9998363993654854,1.0007046902005348
sanji-vinsmoke,cmd:1+2,11,0.0011018887252813858,0.9996112948560765,1.000488305405261,0.9997880122712841,1.0006135833200205
nami-perfect-clima-tact,cmd:1+4,8,0.0011014397564287348,0.9993625145155626,1.0001448904812338,0.9995898182003388,1.0004639542719913
fuusuke,chargeKi,5,0.0010999369352714394,0.9993097998551065,1.0003068527204513,0.9999269946393764,1.000409736790378
kenshiro,chargeKi,4,0.0010987900240507775,0.999626551132434,1.0005734481308834,0.9994746581068327,1.000004485678829
yoh-asakura-power-sword,cmd:1+2+3,6,0.0010983891249661815,0.9994885609757048,1.0002090810320357,0.9997819783727233,1.000586950100671
sanji-vinsmoke,backflip,8,0.0010983582029303607,0.9993171120959085,1.0003427190775707,0.9998724245320662,1.0004154702988388
kenshin-himura,getupStand,7,0.001098243301084434,0.9997659387063816,1.000345646079433,0.9993893593172538,1.0007525972216513
gon-freecss,jabright,16,0.0010972571463179204,0.9994849686067903,1.0005492495788555,0.9994519924325376,1.0004549772669438
killua-zoldyck,walkForward,8,0.0010972218696257974,0.9993511286830498,1.0001681905619075,0.9995516494473244,1.0003562212378605
kenshin-himura,sprint,10,0.0010964115193988766,0.999746564935376,1.0000395694221729,0.9991570235452252,1.0002653406430762
eve,jump,6,0.0010920432890821896,0.9998035571800257,1.0006168395250685,0.9995247962359863,1.0001143114668418
nami,cmd:2+4,10,0.0010906898260767406,0.9995815159456792,1.0006311345882528,0.999633877757259,1.000459555237824
rukia-kuchiki,jableft,7,0.0010894871181970078,0.999488793951704,1.0005925219504155,0.9995030348322185,1.0002239396314456
pegasus-seiya,cmd:2+3,10,0.0010877924358032587,0.9996171302927656,1.0004230751082608,0.9998499912422882,1.0006647173275425
jaguar-junichi,cmd:1+2,6,0.0010870855800795276,0.9994498385788912,1.0002513997599165,0.9998041359621518,1.0005369241589708
gon-freecss,cmd:1+4,7,0.0010864699113015686,0.9998312595588045,1.0004082743603702,0.9996796717146896,1.0006781955509314
caramelman-j,sprint,10,0.001085636558525449,0.9996408020214722,1.0005005023913236,0.9997955396871615,1.0005851341672019
gon-freecss,backflip,8,0.0010850462379909942,0.9995819184857564,1.0006095654793044,0.9996571635356684,1.0004754807586866
nico-robin,cmd:1+3,19,0.0010842635738690376,0.9996332610588499,1.0004548384067744,0.9994579802721696,1.0006294251670946
neuro-nogami,cmd:1+4,8,0.0010833612473900578,0.9993949621032444,1.00034979952595,0.9995216766493655,1.0004525604961048
eve,jableft,6,0.0010832529340779606,0.9994018235839851,1.0005585657856615,0.9997525424032009,1.000485076518063
jaguar-junichi,backflip,8,0.001082294045712473,0.9996256200640291,1.0002702475103074,0.9992920858902584,1.0002584692583532
bobobo-bo-bo-bobo,sprint,10,0.0010814109653416448,0.9997402050534671,1.0003618043342943,0.9992803933689527,1.0002669450550579
naruto-uzumaki-nine-tails-kyubi,cmd:1+2,9,0.0010812186540942736,0.9994606558586732,1.0002194199023697,0.9994581254872326,1.0002386926141502
pegasus-seiya,idle,6,0.0010808246552956868,0.9994682487698315,1.0004137986265043,0.9996739576574454,1.0005490734251272
train-heartnet,cmd:3+4,6,0.001078886280394764,0.9993895232331222,1.000408110051261,0.9997422177848939,1.000468409513517
vegito,cmd:3+4,8,0.001077454576847714,0.9994499274857307,1.0002716759497101,0.9996333890326033,1.0005273820625784
gohan-super-saiyan-2,cmd:1+2,9,0.0010774187544067004,0.9997357818151337,1.0005480713721244,0.9994706526177177,1.000221607990429
dragon-shiryu,sprint,10,0.001077294167130649,0.9994632819721819,1.0003153888012504,0.9994594238606874,1.0002587985696376
don-patch-poppa-rocks,chargeKi,4,0.0010769399250931677,0.9998838399725974,1.0007870781701071,0.9998367908179789,1.000289861754986
kazuki-muto,jableft,6,0.0010768205851117152,0.9993880463424764,1.0002346176721548,0.9995351330724119,1.0003098513066035
nami-perfect-clima-tact,jabright,5,0.0010752140749161754,0.9999239816957537,1.000555360284997,0.9994801462100809,1.0000128254456844
toshiro-hitsugaya,cmd:3+4,11,0.0010747657575597147,0.9993583008669341,1.0004302262571145,0.9996216226901842,1.0004330666244938
kazuki-muto,walkForward,6,0.001071953666992087,0.9993301663534246,1.0001663506248264,0.9996461511778573,1.0004021200204167
ryotsu-kankichi,crouchBlock,8,0.0010714793143568047,0.9994570722657109,1.0004987542569421,0.9994714484199323,1.0001950277386358
dio,backflip,8,0.0010673822269633426,0.9997637229802702,1.0007099274722746,0.9996425452453113,1.000211987756091
piccolo,chargeKi,4,0.001065474027460711,0.9998037344253053,1.0003063199338624,0.9998525831925901,1.0007591540935983
don-patch-poppa-rocks,cmd:1+2,9,0.001064051587861048,0.9996816178724799,1.000565376274296,0.999501324686435,1.0003243322768502
pegasus-seiya,jableft,4,0.001063997208112899,0.9997752158760533,1.0003935173006901,0.9993295200925773,1.0003063350793269
kenshiro,jableft,8,0.001062796412278355,0.9997952913895007,1.000603411993021,0.9995406155807426,1.0003796104880007
sanji-vinsmoke,crouchBlock,8,0.001060308625854156,0.9996879072850668,1.0005352400821865,0.9994749314563324,1.0004281614263495
sakura-haruno,cmd:1+3,7,0.0010598714001472942,0.9995691981635905,1.0006276717381652,0.9997319936100757,1.000432199661982
don-patch-poppa-rocks,getupStand,9,0.0010588937456533776,0.9994607086596418,1.0005080667339301,0.9995771661952776,1.0005196024052951
taizo-momote,backflip,8,0.001058464845592133,0.9993169192025829,1.0003613006102854,0.9996984593383759,1.000375384048175
taizo-momote,jump,8,0.001058464845592133,0.9993169192025829,1.0003613006102854,0.9996984593383759,1.000375384048175
kurama,cmd:1+2,8,0.0010559581921554262,0.9997087535184151,1.000571743651562,0.999592211902101,1.0004842145405934
vegito,sprint,10,0.001055663261510964,0.9994932447206749,1.0005068091401208,0.9994511458786098,1.000365674882244
jotaro-kujo,jabright,5,0.001055485337480233,0.9994801500877114,1.000347704478088,0.9994643645748084,1.0002684286017993
goku-super-saiyan,cmd:1+2,12,0.0010549583523327133,0.9996379764894697,1.0004810606717844,0.9996523288758264,1.0005738976805483
monkey-d-luffy,cmd:2+4,22,0.0010541945324586965,0.9996608823260195,1.0004496064499309,0.9996597701149426,1.0006045880825278
kazuki-muto,cmd:1+4,7,0.0010532621075820536,0.9996070475020338,1.0004856288601864,0.9998612554368794,1.0005676332473956
ryotsu-kankichi,chargeKi,8,0.001052893326672244,0.9995830400104502,1.0006241330807046,0.9997964914668828,1.0004287602459676
allen-walker,cmd:1+2,13,0.0010493341493520436,0.9994480767842969,1.0005864472829618,0.9996873568073473,1.0004628868663903
toshiro-hitsugaya,cmd:2+4,12,0.0010490848042390422,0.9996475724563152,1.0006165488801524,0.9999572372357609,1.0004325359240867
goku-super-saiyan,getupStand,8,0.0010489928417931615,0.9993999622522804,1.0003455979867883,0.9996574726130467,1.0004489550940736
dio,jableft,4,0.0010481748944746183,0.9992445892065298,1.000134180088581,0.9998242030250584,1.0002927641010044
ichigo-kurosaki,crouchBlock,8,0.001047009226437634,0.9993253663982693,1.000306693506677,0.9996302887955761,1.000372375624707
monkey-d-luffy-2nd-gear,sprint,10,0.0010461722556696085,0.999887881091039,1.000152562250532,0.9991063899948625,1.0004206138532854
gotenks,sprint,10,0.001044865312411436,0.9998667556448744,1.000635420340513,0.9995905550281016,1.0003751591378873
kagura,cmd:1+4,6,0.001043770650198672,0.99970184524717,1.0004606794906368,0.9994169088404381,1.000185753942158
kiro,cmd:qcf+4,4,0.001041808069759509,0.9996550126407231,1.0005901180647623,0.9995483099950028,1.0003225358530576
sanji-vinsmoke,cmd:1+4,6,0.0010413980339152307,0.9995333954076132,1.0006528955375948,0.9998892897110553,1.0003885024963204
arale-norimaki,walkForward,8,0.0010408500142039534,0.9994498931559944,1.0002952029336794,0.9996564662546522,1.0004907431701984
bobobo-bo-bo-bobo,chargeKi,5,0.0010404621342189335,0.9995010411596036,1.0002206220553573,0.9997039514570784,1.0005415032938225
lenalee-lee,cmd:1+4,9,0.0010395664471539723,0.9994680283409666,1.0003917143408514,0.9995466486676841,1.0005075947881206
dio,knockdown,4,0.0010339947879087763,0.999395311897645,1.0001394979807805,0.9995706933144463,1.0002564060027213
