character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
riven,cmd:O+1,7,1.6525453162219428e-05,1.0,1.0000117160498168,0.9999951905966545,1.0000048094033451
riven,jableft,3,1.6525453162219428e-05,1.0,1.0000117160498168,0.9999951905966545,1.0
riven,cmd:f+2,4,1.6525453161997383e-05,1.0,1.0000117160498168,0.9999951905966548,1.0000000000000002
riven,cmd:1+2,11,1.6525315898130444e-05,0.9999882840874474,1.0000117159125523,0.9999951905966548,1.0000048094033456
riven,cmd:2+3,7,1.652531589801942e-05,0.9999882840874474,1.0000117159125523,0.9999951905966545,1.0000000000000002
riven,kickright,10,1.652531589801942e-05,0.9999882840874474,1.0000117159125523,0.9999951905966545,1.0000048094033454
riven,cmd:1+3,8,1.65253158979084e-05,0.9999882840874474,1.0000117159125526,0.9999999999999998,1.0000048094033454
riven,getupStand,7,1.65253158979084e-05,1.0,1.0000117159125526,0.9999999999999998,1.0000048094033454
riven,backflip,3,1.6525315897797377e-05,0.9999999999999999,1.0000117159125523,0.9999951905966545,1.0000048094033454
riven,cmd:3+4,5,1.6525315897797377e-05,0.9999882840874477,1.0000000000000002,0.9999951905966545,1.0000048094033451
riven,cmd:d/f+1,4,1.6525292767521904e-05,0.9999999999999999,1.0000117159125523,0.9999951906197848,1.0000000000000002
riven,cmd:1+4,7,1.6525178636817017e-05,0.9999882842247086,1.0000000000000002,0.9999951905966545,1.0000048094033454
riven,walkForward,12,1.6525155506541545e-05,0.9999882842247086,1.0,0.9999951906197848,1.0000000000000002
sanji-vinsmoke,cmd:1+2,11,1.6496586826342252e-05,0.9999883129784375,1.0000116870215627,0.9999951904347366,1.0000048095652636
sanji-vinsmoke,cmd:3+4,12,1.6496586826342252e-05,0.9999883129784375,1.0000116870215627,0.9999951904347366,1.0000048095652636
sanji-vinsmoke,chargeKi,2,1.6496586826120208e-05,0.9999883129784374,1.0000116870215627,0.9999951904347366,1.0000048095652634
sanji-vinsmoke,crouchBlock,8,1.6496586826009185e-05,0.9999883129784374,1.0000116870215625,1.0,1.0000048095652634
sanji-vinsmoke,cmd:2+4,7,1.6496586825898163e-05,1.0,1.0000116870215625,0.9999951904347366,1.0000048095652634
sanji-vinsmoke,sprint,10,1.6496586825898163e-05,0.9999999999999999,1.0000116870215625,0.9999951904347366,1.0000048095652632
sanji-vinsmoke,kickleft,8,1.649658682578714e-05,0.9999883129784374,1.0000116870215625,1.0,1.0000048095652632
sanji-vinsmoke,cmd:2+3,11,1.6496450241043625e-05,0.9999883131150223,1.0000000000000002,0.9999951904347368,1.0000048095652634
eve,chargeKi,3,1.6368777347453012e-05,0.9999931071561504,1.0,1.0,1.0000094759334979
eve,getupStand,8,1.6368735066496498e-05,0.999993107108639,1.0000068928913612,0.9999905241562947,1.0000000000000004
