character,animation,frames,silhouette_width_min,silhouette_width_max,height_min,height_max,recorded_center_abs_max
jaguar-junichi,walkForward,8,1.05305,2.08594,1.14987,2.60394,0.1220433255
anna-kyoyama,walkForward,6,1.98363,3.92278,1.85961,3.11863,0.1889276705
train-heartnet,crouchBlock,8,0.81811,1.6175100000000002,1.5366600000000001,2.1831500000000004,0.107332098
riven,cmd:O+1,7,1.03767,2.04751,1.15429,2.0376299999999996,0.1267521528
kakashi-hatake,cmd:2+3,6,1.2004000000000001,2.36793,1.56995,2.62376,0.29090343750000003
yoh-asakura-power-sword,getupStand,8,2.30816,4.5456199999999995,1.08545,3.15899,0.4513500376000001
lenalee-lee,kickright,8,1.23435,2.42476,1.62544,2.39908,0.0863127162
kenshiro,cmd:1+2,12,1.08856,2.13799,1.58123,2.25256,0.1909585791
sakura-haruno,kickleft,12,0.9592,1.8776800000000002,1.39906,2.8171999999999997,0.1730074563
killua-zoldyck,juggle,2,1.5961100000000001,3.1189299999999998,1.0525200000000001,2.4788099999999997,0.5200893863
ichigo-kurosaki,crouchBlock,8,1.68224,3.27606,1.44031,2.73831,0.5745344040000001
vegito,jabright,5,1.36438,2.64916,1.74532,2.06027,0.15473868799999999
eve,cmd:1+2,6,1.50766,2.9247699999999996,0.94315,1.8308300000000002,0.9457455645
roronoa-zoro,getupStand,8,1.16432,2.2544399999999998,0.5710700000000001,1.90158,0.13977372
neuro-nogami,sidestepLeft,9,1.0567,2.04142,1.0567,2.0792400000000004,0.1923876624
neuro-nogami,sidestepRight,9,1.0567,2.04142,1.0567,2.0792400000000004,0.1923876624
nami-perfect-clima-tact,cmd:1+4,8,1.15782,2.23523,1.4565,2.0486,0.5323640625
yoh-asakura,cmd:1+4,8,1.49689,2.88559,1.65358,2.44577,0.20815382070000002
kenshin-himura,jableft,4,1.2189699999999999,2.34683,1.79662,1.9934699999999999,0.2384230518
vegeta-super-saiyan,crouchBlock,8,0.89167,1.7128800000000002,1.6624599999999998,1.9058599999999999,0.11473278459999998
momotaro-tsurugi,cmd:1+3,7,1.45385,2.7894,1.8235999999999999,2.23518,0.33681414179999997
goku,jabright,7,1.6961600000000001,3.25322,1.92756,2.87726,0.23027264
taikoubou,juggle,2,1.4920399999999998,2.8421700000000003,1.49205,2.28465,0.083628573
taizo-momote,chargeKi,7,1.2938800000000001,2.46276,1.11294,2.29408,0.5581405557
taizo-momote,sidestepLeft,7,1.2938800000000001,2.46276,1.11294,2.29408,0.5581405557
kenshin-himura,cmd:2+3,12,1.3952200000000001,2.65443,1.2889599999999999,2.7683200000000006,0.43406233019999996
heihachi-edajima,cmd:1+4,10,1.06602,2.02644,1.02336,2.1585699999999997,0.23116853520000002
kurama,backflip,8,0.90079,1.7118400000000003,1.01284,2.65321,0.22717274720000002
goku-super-saiyan,crouchBlock,8,1.0375999999999999,1.97038,1.57178,2.27175,0.20767458400000002
bobobo-bo-bo-bobo,kickleft,6,1.19071,2.25859,1.7146,2.24925,0.21517184
kenshiro,cmd:2+3,10,1.1120700000000001,2.10938,1.60982,2.1833299999999998,0.1144454115
bobobo-bo-bo-bobo,crouchBlock,8,1.22688,2.32516,1.0512899999999998,2.11072,0.172254531
kenshin-himura,jabright,4,1.5527099999999998,2.9344099999999997,1.91232,2.2634899999999996,0.34593812479999997
piccolo,cmd:1+2,6,1.13198,2.13845,1.7822699999999998,2.71052,0.30272424
gintoki-sakata,jableft,8,0.98578,1.85625,1.40804,2.76881,0.36817405529999997
naruto-uzumaki-nine-tails-kyubi,jableft,6,2.2053700000000003,4.14675,1.0888,3.3550199999999997,0.2996560847
taizo-momote,crouchBlock,8,1.3591,2.5525700000000002,1.66277,2.46888,0.46424802460000003
taizo-momote,sidestepRight,8,1.3591,2.5525700000000002,1.66277,2.46888,0.46424802460000003
piccolo,getupStand,8,1.78678,3.35561,1.2300900000000001,2.3185,0.7494956755
kenshin-himura,chargeKi,8,0.9221900000000001,1.7277500000000001,1.83169,2.2216699999999996,0.0518615265
vegito,cmd:3+4,8,1.0464600000000002,1.9566700000000001,1.53219,2.4196100000000005,0.4533108678
vegito,kickright,9,1.0464600000000002,1.9566700000000001,1.53219,2.4196100000000005,0.4533108678
near,kickleft,3,1.55926,2.9142799999999998,2.07922,4.12956,0.1822849104
kurama,walkForward,8,1.1429,2.12878,1.51179,2.1615800000000003,0.2622788
monkey-d-luffy-2nd-gear,sprint,10,0.8731800000000001,1.62604,0.27966,2.09663,0.3258864
gon-freecss,juggle,2,1.51214,2.8144299999999998,1.1936299999999997,1.5563900000000002,0.11944192
ryotsu-kankichi,cmd:1+3,7,1.18444,2.20424,1.8626,2.4339500000000003,0.0689138107
roronoa-zoro,cmd:2+3,9,1.2074799999999999,2.24266,1.09775,2.07911,0.3097829213
