character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
cygnus-hyoga,jump,7,0.4923458429335728,3.183133518178623,0.9997499487074273,1.8000102585145672,0.75,1.35,2.409890369421741
cygnus-hyoga,kickleft,8,0.84522142103716,1.164410091473431,0.7499699407953907,1.0556023143182813,0.75,1.05556,0.501456114088668
cygnus-hyoga,kickright,7,0.4923458429335728,3.183133518178623,0.9997499487074273,1.8000102585145672,0.75,1.35,2.409890369421741
cygnus-hyoga,sidestepLeft,8,0.7798690310941143,1.3138733433873502,0.8602479161035135,1.0966012213757304,0.75,0.95604,0.4310960899288966
cygnus-hyoga,sidestepRight,8,0.84522142103716,1.164410091473431,0.7499699407953907,1.0556023143182813,0.75,1.05556,0.501456114088668
cygnus-hyoga,sprint,7,0.4923458429335728,3.183133518178623,0.9997499487074273,1.8000102585145672,0.75,1.35,2.409890369421741
dio,backflip,8,0.8824436197544961,1.512212389380531,0.8986257693349112,1.455023380479657,0.75,1.15,0.9623508141079756
dio,chargeKi,10,0.7174379344587886,1.0343495531281035,0.999993853794053,1.3470701036250323,0.78247,1.05405,0.6523973429497592
dio,cmd:1+2,10,0.6754998308294801,1.760991222577848,0.8244246754510177,1.1378563012765772,0.75,1.0125,0.763420058095691
dio,cmd:3+4,5,0.9509376052700527,1.4870981023318486,0.7817486319443216,1.0321913684098678,0.84933,1.12121,0.6464502294547874
dio,crouchBlock,8,0.7175660413013576,1.7653319973456034,0.7247202615403245,1.0889868636291333,0.75822,1.10294,0.9068389368670375
dio,getupStand,9,0.46480071269308393,1.4424887886734143,0.5637240441714014,1.4055009042055175,0.75,1.08186,0.9233255282127483
dio,idle,6,0.9850616808018504,1.0354664610639939,0.9749935526223242,1.0,1.0,1.02564,0.059106324016072145
dio,jableft,4,0.7392405724433302,1.2274626553849366,0.9478942920312196,1.0630223102610734,0.94125,1.05556,0.2766329667950753
dio,juggle,2,0.7800523736099028,1.2199476263900972,0.7808785518110222,1.2191214481889778,0.83623,1.30556,0.5857550240230361
dio,knockdown,4,0.9314677380790528,1.3436317691900181,0.7918960065581451,1.6348158224256129,0.75,1.08186,1.0069248839396239
dio,sprint,10,0.36913467138492767,1.9522293102097672,0.5773981431624977,1.078646368724199,0.75,1.08186,1.1598694429633625
dio,walkForward,4,0.934029269541212,1.026764902145397,0.921943186943975,1.0458297782149593,0.81597,0.9256,0.17245425133129777
don-patch-poppa-rocks,backflip,8,0.5516934818387806,1.3137397932899002,0.8455637366694903,1.1420603375252494,1.04679,1.26458,0.5323151742272414
don-patch-poppa-rocks,chargeKi,4,0.8603070592712396,1.0116485110836266,0.936944598316338,1.0840582650012092,1.15522,1.33653,0.25852902943846545
don-patch-poppa-rocks,cmd:1+2,9,0.6213300405368177,1.2248317525286319,0.8404955581718934,1.0582833850654676,0.90659,1.1413,0.504061417506016
don-patch-poppa-rocks,cmd:3+4,8,0.9251629589957284,1.1087272869776497,0.8530196055759905,1.2432955867581064,0.85178,1.2413,0.5032919589446962
don-patch-poppa-rocks,crouchBlock,8,0.8240688264958005,1.1280539979508515,0.8361250934282168,1.2095670494099207,0.83143,1.2027,0.5007607535124404
don-patch-poppa-rocks,getupStand,9,0.8049526396619529,1.2588173675286514,0.7798220774817708,1.1448163234121393,0.8506,1.15319,0.5267633430354199
don-patch-poppa-rocks,idle,6,0.9392514729455042,1.0590983123976674,0.9999807431228876,1.020831126816164,0.99917,1.02,0.06769524304886157
don-patch-poppa-rocks,jableft,5,0.973891523563698,1.3572208442281959,0.7670873890255642,1.0475306060930192,0.86939,1.03636,0.5307301175113532
don-patch-poppa-rocks,jabright,5,0.9603514188328172,1.1802420148565629,0.92151731900545,1.0652210512138456,0.92154,1.06522,0.2584678899084878
don-patch-poppa-rocks,juggle,2,0.8889790026287814,1.1110209973712186,0.9831839191658603,1.0168160808341395,1.1001,1.33944,0.20309867925687075
don-patch-poppa-rocks,jump,4,0.9268758935257675,1.0731241064742325,0.9580536009607266,1.0419463990392737,1.2413,1.35,0.14017086292381317
don-patch-poppa-rocks,kickright,8,0.8394904940091469,1.201642917438359,0.5152168751483946,1.2951676393037,0.77873,1.24657,0.8396888753146206
don-patch-poppa-rocks,knockdown,4,0.8593300632404433,1.0817396080465644,0.9018630041667012,1.295211745182338,0.8506,1.12821,0.5184187072380719
don-patch-poppa-rocks,sprint,10,0.806974624216689,1.270863070346206,0.6941273614866704,1.0729270638622217,0.8506,1.33944,0.7128104807210531
don-patch-poppa-rocks,walkForward,8,0.9232672960419782,1.116994869276913,0.9602382828797924,1.1137035835149043,0.99636,1.15556,0.263500505081052
dr-mashirito,backflip,8,0.574225278376256,1.452217948976099,0.5551100075684146,1.8370334470808491,0.75,1.33088,1.3988042164665084
dr-mashirito,chargeKi,2,0.9231797144905809,1.0768202855094193,0.9923964733700764,1.0076035266299237,0.81457,0.82702,0.05992069793557527
dr-mashirito,cmd:1+2,14,0.7672409122921068,1.2434720190692887,0.9999647330774879,1.466488408403787,0.75,1.1,0.7875716198453603
