id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
toshiro-hitsugaya,Tōshirō Hitsugaya,getupStand,35,very-low-scale,0.120,0.430,0.840,0.849,0.840,0.43
train-heartnet,Train Heartnet,knockdown,38,very-low-scale,0.120,0.430,0.470,2.296,2.331,0.43
train-heartnet,Train Heartnet,getupStand,38,very-low-scale,0.120,0.430,1.000,2.296,2.296,0.43
train-heartnet,Train Heartnet,lose,32,very-low-scale,0.120,0.430,0.430,3.987,3.987,0.43
vegeta,Vegeta,knockdown,32,very-low-scale,0.120,0.430,0.510,1.149,1.151,0.43
vegeta,Vegeta,getupStand,32,very-low-scale,0.120,0.430,1.000,1.149,1.000,0.43
gohan-super-saiyan-2,Gohan (Super Saiyan 2),knockdown,30,very-low-prone-scale,0.120,0.300,0.570,1.875,1.895,0.3
gohan-super-saiyan-2,Gohan (Super Saiyan 2),getupStand,30,very-low-prone-scale,0.120,0.300,1.000,1.875,1.000,0.3
rukia-kuchiki,Rukia Kuchiki,knockdown,32,very-low-prone-scale,0.120,0.300,0.440,1.383,1.383,0.3
rukia-kuchiki,Rukia Kuchiki,getupStand,32,very-low-prone-scale,0.120,0.300,1.000,1.383,1.000,0.3
sakura-haruno,Sakura Haruno,knockdown,33,very-low-prone-scale,0.120,0.300,0.340,1.602,1.624,0.3
sakura-haruno,Sakura Haruno,getupStand,33,very-low-prone-scale,0.120,0.300,1.000,1.602,1.000,0.3
dr-mashirito,Dr. Mashirito,knockdown,30,very-low-scale,0.110,0.440,1.000,1.471,1.471,0.44
dr-mashirito,Dr. Mashirito,getupStand,30,very-low-scale,0.110,0.440,1.000,1.471,1.000,0.44
eve,Eve,knockdown,37,very-low-scale,0.110,0.440,0.470,1.306,1.315,0.44
eve,Eve,getupStand,37,very-low-scale,0.110,0.440,1.000,1.306,1.306,0.44
goku,Goku,knockdown,33,very-low-scale,0.110,0.440,0.530,0.933,0.933,0.44
goku,Goku,getupStand,33,very-low-scale,0.110,0.440,1.000,0.933,1.000,0.44
