characterId,displayName,animation,frame,reason,measure,adjacentRatio,medianRatio,scaleSource,scaleWidth,scaleHeight,flags
"renji-abarai","Renji Abarai","sprint","33","adjacent-1.54;default-next-to-frame-scale","1.2737","1.5412","1.2737","default","0.9300","1.1500",""
"renji-abarai","Renji Abarai","sprint","32","adjacent-1.54","0.8265","1.5412","1.2100","frame","0.4929","0.6095","tiny-height-vs-idle|tiny-frame-vs-animation"
"pegasus-seiya","Pegasus Seiya","sprint","39","adjacent-1.54","1.0000","1.5409","1.5224","default","1.0800","1.0800",""
"pegasus-seiya","Pegasus Seiya","sprint","38","adjacent-1.54","1.5409","1.5409","1.0121","default","1.0800","1.0800",""
"piccolo","Piccolo","sprint","35","adjacent-1.54","1.0847","1.5393","1.0000","default","0.7100","1.1400",""
"vegito","Vegito","cmd:2+4","111","adjacent-1.54","1.0000","1.5390","1.3333","default","1.1600","1.1000",""
"vegito","Vegito","cmd:2+4","110","adjacent-1.54","1.5390","1.5390","1.1543","default","1.1600","1.1000",""
"majin-buu","Majin Buu","sprint","32","adjacent-1.54","1.5359","1.5359","1.5359","default","0.9600","0.9600",""
"majin-buu","Majin Buu","sprint","33","adjacent-1.54","1.5359","1.5359","1.5359","default","0.9600","0.9600",""
"majin-buu","Majin Buu","sprint","31","adjacent-1.54","1.0000","1.5359","1.0000","default","0.9600","0.9600",""
"majin-buu","Majin Buu","sprint","34","adjacent-1.54","1.0000","1.5359","1.0000","default","0.9600","0.9600",""
"jaguar-junichi","Jaguar Junichi","sprint","37","adjacent-1.53","1.8362","1.5316","1.2842","default","1.0800","1.2800","wide-body-vs-idle"
"jaguar-junichi","Jaguar Junichi","sprint","36","adjacent-1.53","1.1989","1.5316","1.1927","default","1.0800","1.2800",""
"riven","Sasuke","cmd:FC+3","120","adjacent-1.53","0.7804","1.5265","1.4735","animation","0.7560","0.9396",""
"riven","Sasuke","cmd:FC+3","121","adjacent-1.53","1.1912","1.5265","1.0360","animation","0.7560","0.9396",""
"riven","Sasuke","cmd:qcf+3","120","adjacent-1.53","1.0000","1.5265","1.4735","default","1.0800","1.0800",""
"riven","Sasuke","cmd:qcf+3","121","adjacent-1.53","1.5265","1.5265","1.0359","default","1.0800","1.0800",""
"frieza","Frieza","cmd:2+3","166","adjacent-1.52","1.1320","1.5223","1.3463","default","0.9600","1.0800",""
"frieza","Frieza","cmd:2+3","165","adjacent-1.52","1.7233","1.5223","1.1307","default","0.9600","1.0800",""
"kenshin-himura","Kenshin Himura","cmd:1+2+3","143","adjacent-1.52","1.5210","1.5210","1.2827","default","1.0400","1.1800",""
"kenshin-himura","Kenshin Himura","cmd:1+2+3","142","adjacent-1.52","1.0000","1.5210","1.1858","default","1.0400","1.1800",""
"eve","Eve","jableft","82","adjacent-1.52","1.5188","1.5188","1.2889","default","0.8600","1.0400",""
"eve","Eve","jableft","83","adjacent-1.52","1.0000","1.5188","1.1784","default","0.8600","1.0400",""
"gintoki-sakata","Gintoki Sakata","cmd:1+4","195","adjacent-1.52","1.8280","1.5182","1.3285","default","0.9200","1.0800",""
"gintoki-sakata","Gintoki Sakata","cmd:1+4","194","adjacent-1.52","1.2040","1.5182","1.1428","default","0.9200","1.0800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","kickleft","128","adjacent-1.52","1.5170","1.5170","1.5170","default","0.9100","0.8800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","kickleft","129","adjacent-1.52","1.0000","1.5170","1.0000","default","0.9100","0.8800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","sprint","38","adjacent-1.52","1.5160","1.5160","1.5160","default","0.9100","0.8800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","sprint","39","adjacent-1.52","1.0000","1.5160","1.0000","default","0.9100","0.8800",""
"train-heartnet","Train Heartnet","cmd:3+4","94","adjacent-1.51","1.5122","1.5122","1.5122","default","1.0800","1.2000",""
"train-heartnet","Train Heartnet","cmd:3+4","93","adjacent-1.51","1.0000","1.5122","1.0000","default","1.0800","1.2000",""
